SMILES,AUC(mg*h/L),t1/2(h),MRT(h),Vd(L/kg),CL(L/h),1A2i Label,2C9i Label,3A4i Label,2C19i Label,2D6i Label,HLM Label,hPPB Label,rPPB Label,3A4s Label,2D6s Label,1A2s Label,2C9s Label,2C19s Label,logD Label,logP Label,Caco2_r (10-6cm/s),HLM Label,RLM Label
C[C@@H]1CN2[C@H]([C@H](C)O1)C3(Cc4cc5c(noc5c(F)c24)N6[C@@H](COC6=O)c7ncnn7C)C(=O)NC(=O)NC3=O,0.235452542,1.780802799,0.428841914,4.452517747,21.23570194,0,0,0,0,0,1,68.0115,86.29157143,0,0,0,0,0,2.592821213,1.441833329,2.636907054,1,0
Cc1c(\C=N\NC(=O)c2ccccc2O)c3ccccn3c1C(=O)c4ccc(F)cc4,0.283153662,3.959023665,0.741065698,3.011536635,17.65825652,0,0,0,0,0,1,73.63344444,77.31522562,1,0,1,0,1,2.4482625,2.342441794,4.097918936,1,0
CC1(C)CC(=C(C(C2=C(O)CC(C)(C)CC2=O)c3occc3)C(=O)C1)O,0.264616406,4.689609145,1.009588061,3.068652149,18.89527593,1,1,1,1,1,1,79.74694444,75.67967109,1,0,1,0,1,3.066033333,2.687534664,9.81851126,1,1
CC(C)COC(=O)CNC(=O)C(CN1CCC(C)(C(C)C1)c2cccc(O)c2)Cc3ccccc3,0.224402695,2.108118042,0.43191882,0.796020048,22.28137234,0,0,0,0,0,0,65.05316667,77.59342857,1,0,0,1,0,2.147211822,3.158844433,5.024135139,1,0
ONC(=O)CC12CC3CC(CC(C3)C1)C2,0.204486267,5.767873023,1.065280089,2.459757388,24.45151978,0,0,0,0,0,1,65.44322222,57.913,0,0,0,0,0,2.094854583,2.762926096,8.826777413,1,0
CC1(C)CN(CCO1)[C@H]2C[C@@]3(C)[C@@H](CC[C@H]4[C@@H]5CC[C@H](C(=O)CO)[C@@]5(C)CC[C@H]34)C[C@@H]2O,0.256878753,4.649284063,1.022704225,1.433342569,19.4644358,1,1,0,1,0,1,93.67338889,70.8932619,1,0,1,0,0,2.394057224,2.51997223,4.464974922,1,1
Cc1cc(C)n(n1)c2cccc(c2)[C@@H](CN3CC[C@@H](CCc4ccc5CCCNc5n4)C3)CC(=O)O,0.213127444,5.719275495,0.971841017,2.209325626,23.46014153,1,1,0,1,0,0,82.26544444,73.45428571,1,0,0,0,0,2.763983333,1.333027786,6.228402115,1,1
Oc1ccc(C=C2SC(=O)N(C2=O)c3ccccc3)cc1O,0.249457671,2.266053364,0.342893372,1.011050901,20.04348068,0,0,0,0,0,1,81.02333333,74.34338095,0,0,0,0,0,2.5854515,2.174000002,4.751203421,1,1
CCCNC(=O)[C@H]1O[C@@H]1C(=O)N[C@@H]([C@@H](C)CC)C(=O)N2CCC[C@H]2C(=O)OC,0.258310334,4.106541369,0.928777733,1.354319412,19.35656198,1,0,1,1,0,1,91.4695,70.92380952,0,0,1,0,0,2.178107025,0.014777783,5.22711958,1,1
Oc1ccc(cc1)C2=CC(=O)c3c(O)c(O)c(O)c(c3O2)c4cc(ccc4O)C5=CC(=O)c6c(O)cc(O)cc6O5,0.263379887,4.603990694,0.738208519,3.255599134,18.9839857,0,1,1,1,0,1,82.32941667,79.02513104,0,1,1,0,1,2.1163,0.813390731,1.941546051,1,0
CC1=C(O)C(=O)C=C2C1=CC=C3[C@@]2(C)CC[C@@]4(C)[C@@H]5C[C@@](C)(CC[C@]5(C)CC[C@]34C)C(=O)O,0.270891329,1.907516785,0.380988284,1.982541436,18.45758602,1,0,0,0,0,1,78.91166667,72.39278095,0,0,0,0,0,2.24766,2.557820103,7.98044583,1,1
CC(C)(C)OC(=O)C1CCCN1C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)N)NC(=O)OCc3ccccc3,0.235338273,7.508525393,0.833435415,5.789370831,21.24601295,1,1,0,1,0,1,96.0915,75.23619048,0,0,1,0,1,2.388203333,0.886907419,2.538527152,0,1
