SMILES,logP,logD,logS,pKa_total,pKa_acid,pKa_base,Caco2_r,hPPB,rPPB,CYP1A2i_r,CYP2C9i_r,CYP2C19i_r,CYP3A4i_r,CYP2D6i_r,hCLint,MkCLint,dCLint,rCLint,mCLint,VDss,rCLtot,hCLtot
O=C(NC1C2CC3CC1CC(O)(C3)C2)c1cncs1,,0.8,,,,,,,,,,,,,,,,,,,,
O=C(NC1C2CC3CC1CC(O)(C3)C2)c1cnn2c(C(F)(F)F)ccnc12,,2,,,,,,,,,,,,,,,,,,,,
O=C(NC1C2CC3CC1CC(O)(C3)C2)c1cnn2c(C(F)F)cc(C3CC3)nc12,,2.8,,,,,,,,,,,,,,,,,,,,
O=C(NC1C2CC3CC1CC(O)(C3)C2)c1cnn2c(CCO)ccnc12,,1,,,,,,,,,,,,,,,,,,,,
O=C(NC1C2CC3CC1CC(O)(C3)C2)c1cnn2cc(Cl)cnc12,,1.8,,,,,,,,,,,,,,,,,,,,
O=C(NC1C2CC3CC1CC(O)(C3)C2)c1cnn2ccccc12,,1.5,,,,,,,,,,,,,,,,,,,,
O=C(NC1C2CC3CC1CC(O)(C3)C2)c1cnn2cccnc12,,1.4,,,,,,,,,,,,,,,,,,,,
O=C(NC1C2CC3CC1CC(O)(C3)C2)c1sc(OC2CCOCC2)nc1C1CC1,,2.7,,,,,,,,,,,,,,,,,,,,
O=C(NC1C2CC3CC1CC(O)(C3)C2)c1sc(OC2CCOCC2)nc1C1CCCO1,,2.6,,,,,,,,,,,,,,,,,,,,
O=C(NC1C2CC3CC1CC(O)(C3)C2)c1sc(OCC2CC2)nc1C1CC1,,3.6,,,,,,,,,,,,,,,,,,,,
O=C(NC1C2CC3CC1CC(O)(C3)C2)c1sc(OCCO)nc1C1CC1,,1.6,,,,,,,,,,,,,,,,,,,,
O=C(NC1C2CC3CC1CC(O)(C3)C2)c1sc(OC2CCCO2)nc1C1CC1,,2.4,,,,,,,,,,,,,,,,,,,,
O=C(NC1C2CC3CC1CC(OC(F)F)(C3)C2)c1ccc(N2CC3C(C2)C3C(=O)O)nc1SC1CCCC1,,3.4,,,,,,,,,,,,,,,,,,,,
O=C(NC1CCC(O)CC1)C(C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21,,4,,,,,,,,,,,,,,,,,,,,
O=C(NC1CN(S(=O)(=O)c2ccccc2)CC1C(=O)N1CC2CCNCC21)c1cc(-c2ccccc2Cl)on1,,1.7,,,,,,,,,,,,,,,,,,,,
O=C(NC1CN(S(=O)(=O)c2ccccc2)CC1C(=O)NCC1CCCN1)c1cc(-c2ccccc2Cl)on1,,1.5,,,,,,,,,,,,,,,,,,,,
O=C(NC1CN(S(=O)(=O)c2ccccc2)CC1C(=O)NC1CCCNC1)c1cc(-c2ccc(Cl)cc2)on1,,2.1,,,,,,,,,,,,,,,,,,,,
O=C(NC1CN(S(=O)(=O)c2ccccc2)CC1C(=O)NC1CCCNC1)c1cc(-c2ccc(Cl)cc2Cl)on1,,2.5,,,,,,,,,,,,,,,,,,,,
O=C(NC1CN(S(=O)(=O)c2ccccc2)CC1C(=O)NC1CCCNC1)c1cc(-c2ccccc2)on1,,1.3,,,,,,,,,,,,,,,,,,,,
O=C(NC1CN(S(=O)(=O)c2ccccc2)CC1C(=O)NC1CCCNC1)c1cc(-c2ccccc2Cl)on1,,1.9,,,,,,,,,,,,,,,,,,,,
O=C(NC1CN(S(=O)(=O)c2ccccc2)CC1C(=O)NC1CCCNC1)c1cc(C2CC2)[nH]n1,,0.2,,,,,,,,,,,,,,,,,,,,
O=C(NC1CN(S(=O)(=O)c2ccccc2)CC1C(=O)NC1CCCNC1)c1cn(C2CC2)cn1,,-0.7,,,,,,,,,,,,,,,,,,,,
O=C(NC1CN(S(=O)(=O)c2ccccc2)CC1C(=O)NC1CCCNC1)c1nnc(-c2ccc(F)cc2)s1,,1,,,,,,,,,,,,,,,,,,,,
O=C(NC1CN2CCC1CC2)c1ccc(-c2ccccn2)s1,,0.7,,,,,,,,,,,,,,,,,,,,
O=C(NC1CN2CCC1CC2)c1ccc(Cl)cc1,,0.6,,,,,,,,,,,,,,,,,,,,
O=C(Nc1[nH]nc2cc(-c3ccc(O)cc3)ccc12)c1ccc(OCCN2CCOCC2)cc1,,3.4,,,,,,,,,,,,,,,,,,,,
O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,,3.95,,,,,,1.993392137,,,,,,,,,,,,0.283301229,,
O=C(Nc1c(F)c(F)c(-c2ccccc2)c(F)c1F)c1c(=O)[nH]n2ccccc12,,2.35,,,,,,,,,,,,,,,,,,,,
O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)NC1CC1,,2.2,,,,,,,,,,,,,,,,,,,,
O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)Nc1c(F)cccc1F,,3.1,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)C1CCOCC1,,3.7,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cc(-c2ccncc2)c[nH]c1=O)C(Cc1ccccc1)NC1(c2ccccn2)CC1,,3.44,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)NC1CCN(CCC2CCS(=O)(=O)C2)CC1,,2.8,,,,,,1.986771734,,,,,,,3.544068044,,,,,,,
O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cnc(Cl)nc1C(F)(F)F,,1.8,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cc(CO)cc(CO)c1)c1[nH]c(-c2ccc3ccccc3c2)nc1CC1CCCCCC1,,4,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cc(Cl)c(CC(=O)N2CC(F)CC2COc2ccc(C(=O)O)cc2)cc1Cl)Nc1ccccc1Br,,3.2,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cc(Cl)c(O)c(Cl)c1)Nc1nc2ccc(OC(F)(F)F)cc2s1,,4.4,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cc(F)c(CC(=O)N2CC(F)CC2COc2ccc(C(=O)O)cc2)cc1Cl)Nc1ccccc1Br,,2.9,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cc(F)cc(C(F)(F)F)c1)NC1CCN(CC2=CC3CCC(C2)N3C(=O)C2CC2)CC1,,3.4,,,,,,,,,,,,,3.954242509,,,,,,,
O=C(Nc1cc(Nc2c(Cl)ccc3c2OCO3)ccn1)C1CC1,,3.3,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cc(Nc2c(Cl)cnc3c2OCO3)ccn1)C1CC1,,2.7,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cc(Nc2cccc3c2OCO3)ccn1)C1CC1,,3.7,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cc(Nc2ccccc2)ccn1)C1CC1,,3.3,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cc(Nc2ccccc2Cl)ccn1)C1CC1,,3.1,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cc(I)cc(NC(=O)c2cccc(O)c2O)c1)c1cccc(O)c1O,,1.23,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cc2cc[nH]c2cn1)c1ccc(Cl)c(Cl)c1,,3.04,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cc2cccnc2cc1N1CCC(CO)CC1)c1cnn2cccnc12,,3.1,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(-c2cc3ncccc3[nH]2)cc1)c1ccccc1,,3.86,,,,,,,,,,,,,4.989093693,,,,5.271562825,,,
O=C(Nc1ccc(-c2cccnc2)cc1F)c1ccccc1,,2.83,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(-c2cccnc2)cc1F)c1cccnc1,,1.97,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(-c2nn[nH]n2)cc1F)C(C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21,,2.96,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,,4.78,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Br)cc1)c1cc(Br)ccc1O,,4.75,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Br)cc1)c1cc([N+](=O)[O-])ccc1O,,3.16,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(C(F)(F)F)c(Cl)c1)N1CCN(CC2CCCN(C3CC3)C2)CC1,,4.06,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(C2CCC(C(=O)O)CC2)cc1)c1nnc(Nc2ccccc2F)o1,,2.1,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(C2CCN(C(=O)C3CCC(C(=O)O)CC3)CC2)cc1)c1nc(-c2ccccc2)oc1C(F)(F)F,,2.34,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(CC(=O)N2CC(F)CC2COc2ccc(C(=O)O)cc2)cc1Cl)Nc1ccccc1Br,,2.34,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(CCO)cc1)c1cc2cc(Cl)ccc2[nH]1,,3.85,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(CC2CCC(C(O)c3ccccc3)N2)cc1)C1CCc2nccc(=O)n21,,0.9,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(CC2CCC(C(O)c3cccnc3)N2)cc1)C1CCc2ccnn21,,0.9,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(CC2CCC(C(O)c3cccnc3)N2)cc1)C1CCc2scnc21,,1,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Cl)c(-c2nc3ncccc3o2)c1)c1ccco1,,2.7,,,,,,,,,,,,,5.411619706,,,,,,,
O=C(Nc1ccc(Cl)c(Cl)c1)N1CCN(CC2CCCN(C3CC3)C2)CC1,,3.57,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Cl)c(Cl)c1)N1CCN(CC2CCCN(CC3CC3)C2)CC1,,2.54,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Cl)c(Cl)c1)N1CCN(CC2CCCN(Cc3ccccc3)C2)CC1,,4.26,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Cl)c(Cl)c1)N1CCN(CC2CN(C3CC3)CCO2)CC1,,3.32,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Cl)c(S(=O)(=O)N2CCNCC2)c1O)Nc1cccc(F)c1Cl,,2.6,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Cl)cc1)C1CN(C(=O)N2CCCC2)CC1C(=O)Nc1ccc(-n2ccccc2=O)cc1F,,2.78,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Cl)cc1)C1CN(CC(F)(F)F)CC1C(=O)Nc1ccc(-n2ccccc2=O)cc1F,,3.2,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Cl)cc1)C1CN(CC(F)F)CC1C(=O)Nc1ccc(-n2ccccc2=O)cc1F,,2.69,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Cl)cc1)C1CN(CCO)CC1C(=O)Nc1ccc(-n2ccccc2=O)cc1F,,1.8,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Cl)cc1)C1CN(S(=O)(=O)CC(F)(F)F)CC1C(=O)Nc1ccc(-n2ccccc2=O)cc1F,,2.68,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Cl)cc1B(O)O)c1ccc(Oc2ccc(C(F)(F)F)cc2)nc1,,4.3,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Cl)cc1O)Nc1ccccc1Br,,3.85,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Cl)cn1)C(CN1CC(O)C1)Oc1ncnc2c1cnn2-c1ccccc1Cl,,3.1,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Cl)cn1)C(CN1CC(O)C1)Oc1ncnc2c1cnn2-c1ncccc1Cl,,2,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Cl)cn1)C(COCCO)Oc1ncnc2c1cnn2-c1ccccc1Cl,,3.1,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Cl)cn1)C(COCCO)Oc1ncnc2c1cnn2-c1ncccc1Cl,,2.1,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Cl)cn1)C1CN(CC(F)(F)F)CC1C(=O)Nc1ccc(-n2ccccc2=O)cc1F,,2.62,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Cl)cn1)C1CN(CC(F)F)CC1C(=O)Nc1ccc(-n2ccccc2=O)cc1F,,2.2,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Cl)cn1)C1CNCC1C(=O)Nc1ccc(-n2ccccc2=O)cc1F,,0.63,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Cl)nc1)c1ccc(F)c(Cl)c1,,3.64,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Cl)nc1)c1ccc(F)c(F)c1,,3.31,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(F)c(-c2nc3ncccc3o2)c1)c1ccoc1,,2.4,,,,,,,,,,,,,5.187520721,,,,,,,
O=C(Nc1ccc(F)c(-c2nc3ncccc3o2)c1)c1cnco1,,1.7,,,,,,,,,,,,,4.146128036,,,,,,,
O=C(Nc1ccc(F)c(-c2nc3ncccc3o2)c1)c1cscn1,,2.3,,,,,,,,,,,,,4.681241237,,,,,,,
O=C(Nc1ccc(F)c(F)c1)c1ccc2[nH]ncc2c1,,2.04,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(F)cc1)c1ccc(Cl)[n+]([O-])c1,,1.38,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(F)cc1)c1cccnc1Oc1ccccc1,,3.19,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(F)cc1F)N1CCC(N(CCc2ccc(Cl)cc2)C(=O)c2csc3ccccc23)CC1,,4,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(F)cc1F)c1cc(Cl)ccc1O,,3.6,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(F)cn1)C(CN1CC(O)C1)Oc1ncnc2c1cnn2-c1c(Cl)cccc1Cl,,2.7,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(F)cn1)C(CN1CC(O)C1)Oc1ncnc2c1cnn2-c1c(F)cccc1Cl,,2.3,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(F)cn1)C(CN1CC(O)C1)Oc1ncnc2c1cnn2-c1ccccc1Cl,,2.3,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(F)cn1)C(CN1CC(O)C1)Oc1ncnc2c1cnn2-c1ncccc1Cl,,1.3,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(F)cn1)C(COCCO)Oc1ncnc2c1cnn2-c1c(Cl)cccc1Cl,,2.7,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(F)cn1)C(COCCO)Oc1ncnc2c1cnn2-c1c(F)cccc1Cl,,2.5,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(F)cn1)C(COCCO)Oc1ncnc2c1cnn2-c1ccccc1Cl,,2.4,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(N2CCCCC2)cc1)c1nnc(Nc2ccccc2F)o1,,4.2,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(N2CCNCC2)cc1)c1ccc(-c2ccc(Cl)cc2)o1,,2.4,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(N2CCOCC2)c(F)c1)c1nnc(Nc2ccccc2F)o1,,3.6,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(N2CCOCC2)cc1)c1nnc(NC(=O)C2(c3ccc(Cl)cc3)CCC2)o1,,3.2,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(N2CCOCC2)cc1)c1nnc(NC(=O)C2(c3ccc(Cl)cc3)CCCC2)o1,,3.71,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(N2CCOCC2)cc1)c1nnc(Nc2ccccc2)o1,,3.15,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(N2CCOCC2)cc1)c1nnc(Nc2ccccc2F)o1,,3.025,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(N2CCOCC2)cc1F)c1nnc(Nc2ccccc2F)o1,,3.4,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(N2CCOCC2)cn1)c1nnc(Nc2ccccc2F)o1,,2.4,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(N2CCOCC2)nc1)c1nnc(Nc2ccc(F)c(F)c2)o1,,2.9,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(N2CCOCC2)nc1)c1nnc(Nc2ccc(F)cc2)o1,,3,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(N2CCOCC2)nc1)c1nnc(Nc2cccc(-c3ccccc3)c2)o1,,4,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(N2CCOCC2)nc1)c1nnc(Nc2cccc(Cl)c2)o1,,3.4,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(N2CCOCC2)nc1)c1nnc(Nc2cccc(F)c2)o1,,3.2,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(N2CCOCC2)nc1)c1nnc(Nc2cccc(OCc3ccccc3)c2)o1,,4.2,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(N2CCOCC2)nc1)c1nnc(Nc2cccc(OCc3ccccn3)c2)o1,,3.1,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(N2CCOCC2)nc1)c1nnc(Nc2cccc(OCc3cccnc3)c2)o1,,3.3,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(N2CCOCC2)nc1)c1nnc(Nc2cccc(Oc3ccccc3)c2)o1,,4.2,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(N2CCOCC2)nc1)c1nnc(Nc2ccccc2)o1,,2.9,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(N2CCOCC2)nc1)c1nnc(Nc2ccccc2Cl)o1,,2.9,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(N2CCOCC2)nc1)c1nnc(Nc2ccccc2F)o1,,2.7,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(N2CCSCC2)nc1)c1nnc(Nc2ccccc2F)o1,,3,,,,,,,,,,,,,5.411619706,,,,,,,
O=C(Nc1ccc(NC2=NCCN2)cc1)c1ccc(C(=O)Nc2ccc(NC3=NCCN3)cc2)cc1,,0.12,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Nc2ccc(NC(=O)c3ccccc3)c3c2C(=O)c2ccccc2C3=O)c2c1C(=O)c1ccccc1C2=O)c1ccccc1,,2.63,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(O)c(Cl)c1)Nc1nc2ccc(OC(F)(F)F)cc2s1,,4.04,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(O)cc1)c1ccc(O)cc1,,1.5,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(OC2(C(=O)O)CC2)cc1F)C(C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21,,2.32,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(OC2CCC(C(=O)O)CC2)c(F)c1)c1nnc(Nc2cc(F)c(F)cc2F)o1,,2.3,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(OC2CCC(C(=O)O)CC2)cc1)c1nnc(Nc2cc(F)c(F)cc2F)o1,,1.9,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(OC2CCC(C(=O)O)CC2)cc1)c1nnc(Nc2ccc(F)cc2)o1,,1.2,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(OC2CCC(C(=O)O)CC2)cc1F)c1nnc(Nc2cc(F)c(F)cc2F)o1,,1.85,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(OC2CCC(C(=O)O)CC2)nc1)c1nnc(Nc2ccc(F)c(F)c2)o1,,1.9,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(OC2CCC(C(=O)O)CC2)nc1F)c1nnc(Nc2cc(F)c(F)cc2F)o1,,1.8,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(OC2CCC(C(=O)O)CC2)nc1F)c1nnc(Nc2ccc(F)c(F)c2)o1,,1.9,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Oc2ccccc2)cc1)c1c(=O)[nH]n2ccccc12,,2.3,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(Oc2cccnc2)nc1)c1nnc(Nc2ccccc2F)o1,,3.1,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)s1,,3.02,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(S(=O)(=O)Nc2ccc(F)cc2F)cc1N1CCCC1=O)OCc1ccccc1,,2.8,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)C(c1ccccc1)c1ccccc1,,3.3,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,,4.48,-5.3109999,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc([N+](=O)[O-])cc1O)Nc1ccccc1Br,,3.9,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc2[nH]ccc2n1)c1ccc(Cl)c(Cl)c1,,3.19,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc2[nH]ccc2n1)c1ccc(Cl)c(F)c1,,2.69,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc2[nH]ccc2n1)c1ccc(F)c(Cl)c1,,2.32,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc2[nH]nc(-c3ccncc3)c2c1)C1CCN(CC(=O)N2CCN(c3ccc(-c4ncccn4)cc3)CC2)C1,,3.2,,,,,-5.3979402,,,,,,,,,,,,,,,
O=C(Nc1ccc2cc(C(=O)Nc3nccs3)ccc2c1)c1ccc(Cl)c(Cl)c1,,4.8,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc2ccccc2c1)NC1CCN(CC2=CCCCCCC2)CC1,,4.95,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc(-c2cc3ncccc3[nH]2)c1)c1ccccc1,,3.88,,,,,,,,,,,,,5.559439777,,,,5.717670503,,,
O=C(Nc1cccc(-c2ccccc2)c1)OCc1ccccc1,,7.52,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc(-c2nn[nH]n2)c1)c1cc(C(F)(F)F)cc2[nH]cnc12,,1.1,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc(-c2nn[nH]n2)c1)c1cc(F)cc2[nH]cnc12,,0.29,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc(-c2nn[nH]n2)c1)c1cc(O)cc(C(F)(F)F)c1,,0.8,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc(-c2nn[nH]n2)c1)c1cccc2[nH]cnc12,,-0.05,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc(C(c2ccc(C(=O)N3CCC3)cc2)N2CCN(Cc3ccc(F)cc3)CC2)c1)C1CC1,,3.58,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc(CCO)c1)c1cc2cc(Cl)ccc2[nH]1,,3.83,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc(CCc2cccc(F)c2)c1)C1CCN(c2ccncc2)CC1,,3.58,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc(COc2cccc(F)c2)c1)C1CCN(c2ccncc2)CC1,,3.02,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc(Cl)c1)N1CCN(CC2CCCN(C3CC3)C2)CC1,,2.74,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc(Cl)c1)c1cc(C(F)(F)F)ccc1OCc1ccc(F)cc1,,8.7,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc(Cl)c1)c1cc(C(F)(F)F)ccc1OCc1ccccc1,,8.8,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc(Cl)c1)c1ccccn1,,3.4,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc(F)c1)c1cc(C(F)(F)F)ccc1OCc1ccc(F)cc1,,8.2,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc(NC(=O)c2ccccc2)n1)c1ccccc1,,4.02,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc(O)c1)c1ccc(OCCCN2CCCC2)cc1OCc1ccc(F)cc1,,3.2,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc(O)c1)c1ccc(OCCCN2CCCC2)cc1OCc1cccc(F)c1,,3.125,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc(O)c1)c1ccc(OCCCN2CCCC2)cc1OCc1ccccc1,,3.035,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc(O)c1)c1ccc(OCCCN2CCCC2)cc1OCc1ccccn1,,1.79,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc(O)c1)c1ccc(OCCCN2CCCC2)cc1OCc1cccnc1,,1.595,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc(O)c1)c1ccc(OCCCN2CCCC2)cc1OCc1cscn1,,1.58,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc(OCc2cccc(F)c2)c1)C1CCN(c2ccncc2)CC1,,3.14,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc(C2CN(c3ncnc4[nH]ccc34)CCN2CCO)c1)Nc1c(F)cccc1N1CCCC1,,2.6,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc2cccnc12)C1CCC(n2c(O)c3c(c2O)C2CCC3C2)CC1,,3.94,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc2cccnc12)c1ccc(-n2c(O)c3c(c2O)C2C=CC3C2)cc1,,3.28,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccccc1)N(c1ccc(Br)cc1)C1CCN(C2CCCC2)CC1,,3.4,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccccc1)N1CCC2(CC1)OCCN2S(=O)(=O)c1ccccc1,,1.82,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccccc1)N1CCC2(OCCN2S(=O)(=O)c2ccccc2)C(F)(F)C1,,1.93,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccccc1)N1CCC2(OCCN2S(=O)(=O)c2ccccc2)C(F)C1,,1.5,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccccc1)N1CCOCC1,,1,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccccc1)Nc1ccccc1C(=O)O,,-0.12,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccccc1)c1cc2ccccc2o1,,3.44,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccccc1)c1ccc(OCCCN2CCCC2)cc1OCc1cccc(F)c1,,3.67,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccccc1)c1ccc(OCCCN2CCCC2)cc1OCc1ccccc1,,3.6,,,,,,,,,,,,,,,,,,,,
